ID,NAME,Avg_TreeCanopy_Cover,F5yearincrements_pop0_cy,raceandhispanicorigin_hisppop_cy_1,raceandhispanicorigin_nhspblk_cy_1,households_acshhbpov,agedependency_senior_cy,healthpersonalcare_mp14088a_b_1,commute_acsbus,commute_acswalked,CT_Area_SqKM,CanopyCover_SqKM,SUM_Traffic,householdincome_medhinc_cy,Shape_Length,Shape_Area,pPoverty,pHispanic,pNonHspBlack,pSeniors,pYoungChildren,pWalk2Work,pBus2Work,pAsthma,pTreeCanopy,DisIdxPoverty,DisIdxHispanic,DisIdxNonHspBlack,DisIdxSeniors,DisIdxYoungChildren,DisIdxWalk2Work,DisIdxBus2Work,DisIdxAsthma,AvePM25,AveLST,TreesToPlant
06037108202,060371082.02,7.769582314804974,456.000000000000000,831.000000000000000,269.000000000000000,156.000000000000000,1358.000000000000000,162.000000000000000,0.000000000000000,0.000000000000000,5.774862873082347,0.448682724491245,563970.000000000000000,121714.000000000000000,36002.292029206844745,62154229.500899218022823,0.0630176,0.0421662,0.0079430,0.2657337,0.1898521,0.0000000,0.0000000,16201.2675781,0.4305073,-0.3674898,-0.3883411,-0.4225643,-0.1647737,-0.2406553,-0.4305073,-0.4305073,16200.8369141,10.528752636022411,110.687103243308258,893
06037113101,060371131.01,4.688329271594910,125.000000000000000,815.000000000000000,109.000000000000000,73.000000000000000,986.000000000000000,120.000000000000000,130.000000000000000,0.000000000000000,2.267980759809051,0.106330405836268,630262.000000000000000,113683.000000000000000,21414.960470976122451,24410147.477980177849531,0.0294890,0.0413543,0.0032185,0.1929406,0.0520428,0.0000000,0.0817754,12001.2675781,0.1020231,-0.0725341,-0.0606688,-0.0988046,0.0909175,-0.0499803,-0.1020231,-0.0202477,12001.1660156,14.525462087898207,111.098701538131010,941
06037113211,060371132.11,7.355239936129086,156.000000000000000,524.000000000000000,102.000000000000000,122.000000000000000,919.000000000000000,123.000000000000000,29.000000000000000,0.000000000000000,7.283759673994774,0.535738000393329,262564.000000000000000,115483.000000000000000,37917.027321961468260,78394700.532508417963982,0.0492830,0.0265886,0.0030118,0.1798301,0.0649494,0.0000000,0.0182422,12301.2675781,0.5140361,-0.4647532,-0.4874476,-0.5110243,-0.3342060,-0.4490867,-0.5140361,-0.4957939,12300.7539062,12.053853117935285,110.258051592829332,881
06037113212,060371132.12,3.952291274325173,125.000000000000000,783.000000000000000,145.000000000000000,109.000000000000000,645.000000000000000,109.000000000000000,9.000000000000000,50.000000000000000,0.998527127257501,0.039464700522368,243421.000000000000000,97298.000000000000000,14207.045530802502981,10747111.890647944062948,0.0440315,0.0397306,0.0042815,0.1262137,0.0520428,0.0747194,0.0056614,10901.2675781,0.0378660,0.0061655,0.0018646,-0.0335845,0.0883477,0.0141767,0.0368534,-0.0322047,10901.2294922,14.267235262497652,110.773642609205098,925
06037113213,060371132.13,4.809213587715217,195.000000000000000,1141.000000000000000,183.000000000000000,102.000000000000000,825.000000000000000,154.000000000000000,120.000000000000000,38.000000000000000,1.300873250571700,0.062561773125447,230287.000000000000000,90388.000000000000000,16855.374318923200917,14001157.147120401263237,0.0412038,0.0578961,0.0054036,0.1614361,0.0811867,0.0567868,0.0754850,15401.2675781,0.0600275,-0.0188237,-0.0021314,-0.0546239,0.1014086,0.0211592,-0.0032407,0.0154575,15401.2080078,14.336769439591201,110.520841227732703,938
06037113231,060371132.31,9.553861788617887,77.000000000000000,269.000000000000000,77.000000000000000,40.000000000000000,483.000000000000000,63.000000000000000,0.000000000000000,0.000000000000000,1.814428160704253,0.173347958727446,93613.000000000000000,104725.000000000000000,30746.172780669585336,19528866.045763999223709,0.0161584,0.0136495,0.0022736,0.0945135,0.0320584,0.0000000,0.0000000,6301.2680664,0.1663259,-0.1501676,-0.1526764,-0.1640523,-0.0718124,-0.1342676,-0.1663259,-0.1663259,6301.1015625,12.306799469195521,110.334502634315527,906
06037113232,060371132.32,8.824619061846430,151.000000000000000,823.000000000000000,160.000000000000000,29.000000000000000,1040.000000000000000,133.000000000000000,46.000000000000000,19.000000000000000,2.065920461391001,0.182309610838496,323864.000000000000000,121037.000000000000000,23602.592679967019649,22235692.355645351111889,0.0117148,0.0417603,0.0047245,0.2035074,0.0628677,0.0283934,0.0289359,13301.2675781,0.1749246,-0.1632098,-0.1331643,-0.1702001,0.0285828,-0.1120569,-0.1465312,-0.1459886,13301.0927734,14.402851701697401,109.486394143159160,944
06037113233,060371132.33,4.073039742212675,546.000000000000000,4147.000000000000000,470.000000000000000,459.000000000000000,727.000000000000000,157.000000000000000,418.000000000000000,24.000000000000000,1.143929049544333,0.046592684810656,216701.000000000000000,49734.000000000000000,16703.843568344753294,12312222.246939213946462,0.1854171,0.2104250,0.0138781,0.1422595,0.2273229,0.0358653,0.2629394,15701.2675781,0.0447053,0.1407118,0.1657198,-0.0308272,0.0975542,0.1826176,-0.0088400,0.2182341,15701.2226562,15.068968207639639,112.923664471724365,961
06037113234,060371132.34,4.051724137931035,300.000000000000000,2675.000000000000000,148.000000000000000,201.000000000000000,695.000000000000000,107.000000000000000,165.000000000000000,74.000000000000000,1.023006414981522,0.041449397848389,275158.000000000000000,57291.000000000000000,16791.230887907855504,11010658.508920744061470,0.0811957,0.1357335,0.0043701,0.1359977,0.1249027,0.1105848,0.1037919,10701.2675781,0.0397703,0.0414254,0.0959632,-0.0354002,0.0962274,0.0851323,0.0708144,0.0640215,10701.2275391,15.167885356861502,111.392050222414056,942
06037113235,060371132.35,13.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.008406363495842,0.001092827254459,6464.000000000000000,0.000000000000000,12279.368295570509872,90470.040684227948077,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.2678800,0.0010486,-0.0010486,-0.0010486,-0.0010486,-0.0010486,-0.0010486,-0.0010486,-0.0010486,1.2668314,10.824873806679083,112.302510316344510,914
